<<<<<<< HEAD
"","area.urb","prob.inc","tipo"
"1",18.5198083254026,0.741531528172822,"med"
"2",19.1161846153913,0.474249478959381,"temp"
"3",20.4334394914609,0.307925524959802,"bor"
"4",20.5910554944719,0.640200642054018,"trop"
"5",17.6151867680447,0.655996244114515,"med"
"6",18.0143955040322,0.538582379497449,"temp"
"7",22.2938413054059,0.641263574095703,"bor"
"8",19.5230934734995,0.580562196501132,"trop"
"9",20.631325927338,0.853309944930811,"med"
"10",19.6618223224301,0.688767305793789,"temp"
"11",18.3885975151979,0.53258076342006,"bor"
"12",20.1275164939007,0.52404980347196,"trop"
"13",20.5633867465656,0.486027531998867,"med"
"14",23.3622325421673,0.505768693277862,"temp"
"15",16.6191203406573,0.539656754802101,"bor"
"16",21.0509045139455,0.711082798718362,"trop"
"17",16.2588649494742,0.492768228387397,"med"
"18",18.9115715219349,0.663945551095664,"temp"
"19",17.2723627452593,0.633510205677489,"bor"
"20",19.9773884919993,0.627676937510149,"trop"
"21",19.1212590553201,0.518515898696297,"med"
"22",20.631887902442,0.692267310711646,"temp"
"23",18.9120363429824,0.639340903666164,"bor"
"24",22.6992990045581,0.629389543124781,"trop"
"25",16.9061414144641,0.708292081212174,"med"
"26",18.1354588044951,0.51421514962563,"temp"
"27",19.4507128434445,0.536501819499447,"bor"
"28",18.4262561440986,0.477182840069885,"trop"
"29",17.0529127284217,0.616051340219504,"med"
"30",20.363256054403,0.487293469065672,"temp"
"31",19.3181649532086,0.638578796499408,"bor"
"32",22.2256543200989,0.589486580611844,"trop"
"33",23.522228295857,0.608553177361343,"med"
"34",17.2832379381962,0.598136079018189,"temp"
"35",17.9490090975451,0.585267456961885,"bor"
"36",20.2404557797006,0.598873322344803,"trop"
"37",14.8382573379626,0.702686119070054,"med"
"38",19.8234501979823,0.453960353787123,"temp"
"39",23.4542097263923,0.466792813986022,"bor"
"40",18.5919247838135,0.507405061974254,"trop"
"41",22.102257028949,0.683247369112578,"med"
"42",21.3968186208266,0.55519162889341,"temp"
"43",18.4770621761194,0.634068550480356,"bor"
"44",16.348321003473,0.512342206364987,"trop"
"45",18.2253935722532,0.429908182527945,"med"
